"data_Persona","data_productividad_per","data_Tcamp","data_sumCOD","data_sumHRSLB","data_GRADO2","data_sum_variedad_total_AL","data_sum_variedad_total_CC","data_sum_variedad_total_CP","data_sum_variedad_total_JS","data_sum_variedad_total_MG","data_sum_variedad_total_RG","data_sum_variedad_total_SG","data_sum_variedad_total_TC","data_sum_variedad_total_TM","data_sum_variedad_total_VN","data_sum_aux_bono_total","data_sum_hora_extra","data_n_lote","data_n_fundo","data_T_RangoEdad","data_Testado_civil","data_Tsexo","data_T_numero_hijos","data_dias_empresa","data_Tedad","data_numero_hijos","data_pobreza","data_n_variedad","data_veces","data_DEUDA_PROM_U6M","data_PEOR_CALIF_U6M","data_MODA_CALIF_U6M","data_NRO_ENT_PROM_U6M","data_TIPCRE_UM","data_DIAS_ATRASO_PROM_U6M","data_BANCARIZADO","data_distancia","data_import_unico","data_total","data_bono_produc","data_otros_bono","dummies_Tsexo_Mujer","sede_cod","data_numero_asistentes","data_asistente_mediana_Tedad","data_asistente_mediana_numero_hijos","data_asistente_dias_empresa","cluster"
5,268.347619047619,19,2817.65,10.5,"PRIMARIA COMPLETA",12.31,0,0,0,39.68,0,0,0,0,0,0.49,12.31,2,2,"MAS DE 50","Casado(a)/conviviente/unionlibre","Hombre","sin hijos",8068,69,0,41.25,2,4,9648.6,"2.DEFICIENTE","2.DEFICIENTE",1,"CONSUMO NO REVOLVENTE",20.43,1,2.69268693119756,39.19,51.99,0.49,0,0,"Ica",2,NA,NA,NA,1
11,80,20,560,7,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,94.77,0,4.7,0,1,1,"DE 31 A 50","Casado(a)/conviviente/unionlibre","Hombre","sin hijos",8410,43,0,41.25,1,1,301.97,"0.NORMAL","0.NORMAL",1.25,"CONSUMO REVOLVENTE",0,1,2.69268693119756,90.07,94.77,4.7,0,0,"Ica",1,45,0,2964,1
14,61.8,20,618,10,"SECUNDARIA COMPLETA",0,0,0,0,0,0,0,0,228.97,0,10.25,35.3,2,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",8165,49,0,41.25,1,2,NA,"4.EN PERDIDA","4.EN PERDIDA",NA,NA,NA,1,2.69268693119756,193.67,239.22,0,10.25,1,"Ica",2,NA,NA,NA,1
15,25.3333333333333,20,228,9,"SECUNDARIA COMPLETA",0,92.42,0,0,0,0,0,0,0,0,12.77,16.41,1,1,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",8104,46,0,45.9,1,3,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,4.79582369048168,75.25,104.43,0.76,12.01,1,"Ica",1,32,1,673,1
16,55.276,19,138.19,2.5,"SUPERIOR - TECNICO",26.87,0,0,0,0,0,0,0,0,0,0,26.87,1,1,"DE 31 A 50","Soltero(a)","Hombre","sin hijos",8073,43,0,30.85,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,16.6944674876211,0,26.87,0,0,0,"Ica",1,28,0,NA,1
31,10.6666666666667,20,160,15,"SECUNDARIA COMPLETA",141.12,0,0,0,0,171.15,0,0,0,0,16.13,30.28,3,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",7462,43,0,44.55,2,4,12772.99,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,13.3415888721868,281.99,328.4,0,16.13,1,"Ica",3,35,0,NA,1
31,90.5677857142856,19,452.838928571428,5,"SECUNDARIA COMPLETA",31.22,0,0,0,0,31.23,0,0,0,0,0,62.45,3,2,"DE 31 A 50","Soltero(a)","Mujer","sin hijos",7462,42,0,44.55,2,4,15479.78,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,13.3415888721868,0,62.45,0,0,1,"Ica",2,30.5,0,NA,1
34,3.625,20,87,24,"PRIMARIA COMPLETA",0,0,0,0,156.92,0,0,0,0,0,48.39,0,1,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",7366,55,0,45.9,1,5,10899.78,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,108.53,156.92,48.39,0,0,"Ica",1,44,0,3328,1
34,93.0222666666667,19,20930.01,225,"PRIMARIA COMPLETA",517.51,0,0,0,431.93,0,0,438.67,12.57,0,314.27,0,9,4,"MAS DE 50","Soltero(a)","Hombre","sin hijos",7366,54,0,45.9,4,5,5462.32,"0.NORMAL","0.NORMAL",1,"CONSUMO NO REVOLVENTE",0,1,4.79582369048168,1117.77,1432.04,282.91,31.36,0,"Ica",5,33,0,NA,1
37,44.9583333333333,20,1079,24,"SECUNDARIA COMPLETA",0,0,0,0,0,143.49,0,0,0,0,35.81,0,1,1,"MAS DE 50","Soltero(a)","Hombre","sin hijos",7178,63,0,13.9,1,4,NA,"8.SIN CALIFICACION",NA,NA,NA,NA,1,6.05239151999867,108.54,144.35,34.95,0.86,0,"Ica",1,40,2,2499,1
